"sample","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-S9-A6WL-01A-21R-A33Z-07",0.0539040250650617,0,0,0.133930537846767,0,0.155223770866479,0,0,0.0438753803100632,0.15343267029071,0.459633615620919
"TCGA-S9-A6WN-01A-12R-A33Z-07",0.00591231917984528,0.00217736393744501,0.153535542706464,0.131438227472546,0,0.114762099496873,0,0,0.0215011606373062,0.22549450669773,0.34517877987179
"TCGA-S9-A6WP-01A-12R-A34F-07",0.0533719080858475,0,0.00200923654384714,0.159813964279118,0,0.124665695736093,0,0,0.0187746664000111,0.118966848686841,0.522397680268242
"TCGA-S9-A7IQ-01A-21R-A34F-07",0.069771656837075,0,0,0.495913381029327,0,0.230933209216979,0,0,0,0,0.203381752916619
"TCGA-S9-A7IY-01A-11R-A34F-07",0.0244134852862345,0,0.0392383031902782,0.0123899528556121,0,0.157068989072137,0,0,0,0.210194244637971,0.556695024957767
"TCGA-S9-A7J2-01A-11R-A34F-07",0.0483708895801203,0,0,0.0714936811657083,0,0.159139724607559,0,0,0.00620682071509887,0.151471197158581,0.563317686772933
"TCGA-S9-A7QY-01A-11R-A34F-07",0.0360455001386318,0,0,0.195743346740927,0,0.158021771246681,0,0,0.0067051405049102,0.0858570103582939,0.517627231010556
"TCGA-S9-A7QZ-01A-12R-A34R-07",0.0606827078013777,0,0,0.178360847995907,0,0.170070168987972,0,0,0.0201548216864585,0.0523897492107677,0.518341704317517
"TCGA-S9-A7R1-01A-12R-A34R-07",0.0530902361946191,0,0,0.181944695859488,0,0.155225033844352,0,0,0.0244665016672426,0.0672218300683921,0.518051702365906
"TCGA-TM-A84G-01A-11R-A36H-07",0.0455468446021836,0,0,0.0494804540652672,0,0.12897725949398,0,0,0.0407451386588835,0.158147616488569,0.577102686691117
"TCGA-TM-A84M-01A-11R-A36H-07",0.0454625988839764,0,0,0.014195446525327,0,0.155150018326124,0,0,0.0771059277317151,0.209652060693581,0.498433947839277
"TCGA-TM-A84R-01A-21R-A36H-07",0.0789417198472146,0,0,0.477521328489231,0,0.199452005834062,0,0,0.00908961613923365,0,0.234995329690259
"TCGA-TM-A84S-01A-11R-A36H-07",0.0164637290423677,0,0,0,0,0.237293788797104,0,0,0,0.2772765714846,0.468965910675929
"TCGA-TQ-A7RS-01A-12R-A33Z-07",0.039881417405603,0,0,0.107331412155556,0,0.146238916570999,0,0,0.0162734590999635,0.109903246164815,0.580371548603064
"TCGA-VM-A8CB-01A-11R-A36H-07",0.0433333695949159,0,0,0.113037956022906,0,0.100754830260824,0,0,0.0401944541950045,0.0339108746536454,0.668768515272704
"TCGA-VM-A8CE-01A-11R-A36H-07",0.0286632573101957,0,0,0.0676310764488659,0,0.179263611879272,0,0,0,0.241588988811004,0.482853065550662
"TCGA-VV-A829-01A-21R-A36H-07",0.0498519953796046,0,0.00428940305482974,0.109145958130265,0,0.115663667790281,0,0,0.037376465578213,0.0710291063427245,0.612643403724082
"TCGA-VW-A7QS-01A-12R-A33Z-07",0.0326860083226225,0,0,0.0955066532480158,0,0.09425554655259,0,0,0.0362486363441201,0.0820996397767849,0.659203515755867
"TCGA-W9-A837-01A-11R-A36H-07",0.0467566803715682,0,0,0.198990679786109,0,0.216550774788167,0,0,0,0.108923104349457,0.428778760704699
